요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명
참조은약국,81,약국,350000,전북,350100,군산시
민제약국,81,약국,390000,제주,390100,서귀포시
재건약국,81,약국,380000,경남,380701,창원마산회원구
평택종합약국,81,약국,310000,경기,311200,평택시
고운맘약국,81,약국,310000,경기,311901,고양덕양구
중앙약국,81,약국,310000,경기,312600,광주시
밝은약국,81,약국,310000,경기,312500,화성시
뉴그린약국,81,약국,310000,경기,311200,평택시
대보약국,81,약국,230000,대구,230002,대구동구
신우약국,81,약국,320000,강원,320500,춘천시
세아온누리약국,81,약국,370000,경북,370800,문경시
반약국,81,약국,330000,충북,330101,청주상당구
인일약국,81,약국,220000,인천,220004,인천중구
춘천온누리약국,81,약국,320000,강원,320500,춘천시
중앙약국,81,약국,220000,인천,220004,인천중구
청우약국,81,약국,220000,인천,220005,인천서구
서문로약국,81,약국,230000,대구,230006,대구중구
파랑새약국,81,약국,220000,인천,220001,인천미추홀구
새봄약국,81,약국,310000,경기,312001,용인기흥구
헬스팜약국,81,약국,310000,경기,310800,의정부시
플러스약국,81,약국,310000,경기,310300,부천시
봄약국,81,약국,220000,인천,220005,인천서구
시원약국,81,약국,310000,경기,311902,고양일산서구
백화점약국,81,약국,310000,경기,311102,안산상록구
다정약국,81,약국,310000,경기,311902,고양일산서구
중앙약국,81,약국,310000,경기,310800,의정부시
새안양보룡약국,81,약국,310000,경기,310701,안양만안구
일산선약국,81,약국,310000,경기,311902,고양일산서구
우리약국,81,약국,310000,경기,310604,수원영통구
다원약국,81,약국,310000,경기,310401,성남수정구
열린연세약국,81,약국,220000,인천,220001,인천미추홀구
국민약국,81,약국,310000,경기,311000,구리시
고읍태양약국,81,약국,310000,경기,312700,양주시
안녕약국,81,약국,310000,경기,312500,화성시
소나무약국,81,약국,310000,경기,310800,의정부시
우리팜아름약국,81,약국,220000,인천,220007,인천연수구
신천지약국,81,약국,310000,경기,312300,김포시
스타파크약국,81,약국,310000,경기,310403,성남분당구
송도B1약국,81,약국,220000,인천,220007,인천연수구
메디팜동탄약국,81,약국,310000,경기,312500,화성시
마석백제약국,81,약국,310000,경기,311500,남양주시
다영약국,81,약국,310000,경기,310604,수원영통구
우리민들레약국,81,약국,310000,경기,312002,용인수지구
햇살온누리약국,81,약국,220000,인천,220007,인천연수구
늘희망약국,81,약국,220000,인천,220003,인천부평구
스마일약국,81,약국,310000,경기,312700,양주시
수원프라자약국,81,약국,310000,경기,310601,수원권선구
튼튼약국,81,약국,310000,경기,310604,수원영통구
마더스약국,81,약국,310000,경기,312500,화성시
이화힐약국,81,약국,310000,경기,310602,수원장안구
나무약국,81,약국,310000,경기,312500,화성시
광교퍼스트약국,81,약국,310000,경기,312002,용인수지구
건강약국,81,약국,350000,전북,350004,무주군
환도약국,81,약국,110000,서울,110009,마포구
이든약국,81,약국,110000,서울,110021,서초구
정안약국,81,약국,310000,경기,311500,남양주시
한누리약국,81,약국,410000,세종시,410000,세종시
세명약국,81,약국,370000,경북,370200,구미시
옵티마하남약국,81,약국,310000,경기,311300,하남시
삼화당약국,81,약국,370000,경북,370019,울진군
청솔약국,81,약국,380000,경남,380703,창원진해구
새삼성약국,81,약국,310000,경기,312300,김포시
성일약국,81,약국,340000,충남,340201,천안서북구
명지온누리약국,81,약국,210000,부산,210012,부산강서구
효성약국,81,약국,230000,대구,230003,대구북구
비전약국,81,약국,310000,경기,311200,평택시
이레약국,81,약국,310000,경기,310702,안양동안구
수약국,81,약국,310000,경기,311200,평택시
보인당약국,81,약국,310000,경기,310100,광명시
청담약국,81,약국,250000,대전,250004,대전동구
병원약국,81,약국,310000,경기,312500,화성시
명약국,81,약국,370000,경북,370200,구미시
우리약국,81,약국,110000,서울,110003,강서구
새가양약국,81,약국,250000,대전,250004,대전동구
장안메디컬약국,81,약국,310000,경기,310602,수원장안구
조약국,81,약국,390000,제주,390100,서귀포시
